@relation doc-subject

@attribute Subject0 numeric
@attribute Subject1 numeric
@attribute Subject2 numeric
@attribute Subject3 numeric
@attribute Subject4 numeric
@attribute Subject5 numeric
@attribute Subject6 numeric
@attribute Subject7 numeric
@attribute Subject8 numeric
@attribute Subject9 numeric
@attribute Subject10 numeric
@attribute Subject11 numeric
@attribute Subject12 numeric
@attribute Subject13 numeric
@attribute Subject14 numeric

@data
0,0,0,0,0,0,0.007875,0,0,0,0,0,0,0,0.003328
0,0,0,0,0,0,0,0,0.003864,0.009604,0.025221,0,0,0,0
0,0,0,0.003529,0,0,0.009604,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.000445,0,0,0.029836,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.010557,0,0
0.000009,0.001464,0,0,0,0,0,0.006491,0,0,0,0.019724,0,0,0.005347
0,0,0,0.006818,0,0,0,0,0.008915,0,0,0,0,0.003831,0
0,0.000814,0,0.000783,0.063725,0,0,0,0.002143,0.002297,0,0.002332,0.001117,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.001297,0,0,0
0,0,0,0,0,0,0,0.022572,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.006208,0
0,0,0,0,0,0,0,0,0,0,0.007814,0,0,0,0
0,0,0,0.014028,0,0,0,0,0,0,0,0,0.008244,0,0
0,0,0,0,0,0,0,0,0.015856,0,0,0,0,0,0
0,0,0,0,0.002561,0,0,0,0,0,0,0,0,0,0
0,0.009448,0.004792,0,0,0.003949,0,0,0,0,0,0,0,0,0
0.00717,0,0.003804,0,0.027898,0,0,0,0,0,0,0.000764,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.001921,0
0,0,0,0,0,0,0,0,0,0,0.002918,0,0,0,0
0.000984,0,0,0.022988,0,0,0,0,0.000008,0,0,0.00226,0.000019,0,0
0,0,0,0,0,0,0,0,0,0.021438,0,0,0,0,0
0,0.02109,0.000214,0,0,0,0,0,0,0,0,0,0.001491,0,0
0,0,0,0,0,0.031894,0,0.000016,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.051613,0,0,0,0.000001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028835
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.006356,0,0,0.004374,0,0.015463,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.003369,0,0.000885,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.009253,0,0,0.008728,0.003797,0.003406,0,0
0,0,0,0,0,0,0.024219,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020407,0,0,0,0,0,0,0,0,0,0,0,0,0.003278,0.005004
0,0,0.000036,0.01082,0,0.004367,0.007946,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.003409,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.058567,0
0.000504,0,0.004275,0.003955,0,0,0,0.003223,0.060458,0.003699,0,0.001219,0.000003,0.000175,0.002372
0,0,0,0,0,0,0,0,0.006457,0,0,0,0,0,0
0,0,0.003697,0,0,0,0,0,0.005063,0,0,0,0,0,0.00556
0,0,0,0,0,0,0,0,0,0,0.035608,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.071116,0,0,0
0,0,0,0,0,0,0.024205,0,0,0,0,0,0.002428,0,0
0.006718,0,0,0,0,0,0,0,0,0,0,0,0.024692,0,0
0,0,0,0.02126,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.013323,0.003626,0.002241,0,0,0,0.000136,0.002098,0,0.002584
